Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200005,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200016,69,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200071,45,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200095,39,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200198,69,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200329,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200359,87,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200429,73,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200430,57,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200568,64,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200655,53,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200826,62,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,200860,56,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201038,56,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201120,65,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201334,66,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201526,63,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201603,77,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201629,71,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201784,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201929,72,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,201979,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202133,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202320,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202403,61,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202423,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202488,61,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202614,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202635,53,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202760,95,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202785,32,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202811,78,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,202900,67,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,203058,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,203215,52,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,203646,55,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,203897,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,203931,54,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,204093,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,204232,51,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,204405,76,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,204625,68,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,204687,70,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,204896,58,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205071,57,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205393,36,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205417,91,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205426,62,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205588,64,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205734,71,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205825,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205835,90,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,205966,59,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206028,69,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206039,70,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206231,85,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206252,72,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206327,52,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206403,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206449,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206506,53,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206532,45,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206677,75,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206771,44,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,206968,72,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207070,62,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207302,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207316,71,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207368,65,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207469,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207480,47,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207621,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207656,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,207713,54,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,208231,63,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,208301,50,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,208333,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,208334,51,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,208343,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,208554,53,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,208588,46,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,208637,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209122,67,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209257,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209276,37,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209300,44,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209418,57,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209428,39,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209584,65,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209585,28,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209636,55,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209719,81,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209919,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209935,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,209969,67,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,210053,47,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,210125,55,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,210252,44,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,210387,65,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,210560,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,210954,34,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,210959,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211123,79,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211136,86,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211153,97,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211278,69,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211359,73,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211425,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211436,48,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211639,72,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211714,,N,No presentada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211792,56,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,211913,39,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,212120,67,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,212160,46,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,212186,65,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,212275,75,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,212423,44,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,212529,66,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,212750,78,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,213005,66,S,Seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,213300,79,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,213320,71,S,Seleccionada/o,Cita para entregar documentación.,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,214220,48,,No seleccionada/o,,
3,Licenciatura 2026,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31502005.html,80,458,336,59,171,214342,68,S,Seleccionada/o,Cita para entregar documentación.,
